Feature,Frequency
CTD-2021H9.3,1
DCAF7,1
DNAH8,1
ERAP1,1
FAM150B,1
FNDC9,1
GBA,1
GTPBP2,1
KIF26A,1
KIRREL3,1
LMCD1,1
NLRP3,1
PHLDA1,1
PIAS2,1
POLR3K,1
PPP2R5E,1
CLEC2D,1
ATMIN,1
AGO4,1
RP11-385D13.1,1
HRASLS5,1
NACA2,1
NELFA,1
P2RY12,1
PBXIP1,1
RFK,1
RP11-1085N6.3,1
RPP40,1
ZNF812,1
SERPINB7,1
SGCG,1
SLC35G6,1
SNAI2,1
TRMT10C,1
TSTA3,1
WRB,1
ZC3H13,1
ZNF281,1
AC026461.1,1
SAV1,1
ANKMY1,1
ATG9A,1
C17orf112,1
CD83,1
DNAH17,1
EIF2B5,1
EPPIN,1
FOXR1,1
GPR143,1
GRM5,1
LACRT,1
LATS2,1
MTX1,1
PARM1,1
PDS5A,1
PRRG4,1
PTPN11,1
ACOT12,1
ZNF335,1
UBE2J1,1
NUDT12,1
GGH,1
HM13,1
ITPRIPL1,1
LCLAT1,1
LILRB3,1
MOV10,1
NSUN4,1
OR6C70,1
SLC43A1,1
PTPRE,1
RAD23B,1
RFC4,1
SETD7,1
SETDB2,1
SLC22A6,1
SLC25A16,1
PTRH1,1
SERPINA4,1
C16orf54,1
SLA,1
RGMA,1
RP11-934B9.3,1
TFDP3,1
ZNF283,1
AC104667.3,1
ADRA1D,1
APLN,1
ATXN7L3B,1
C5orf34,1
CABP1,1
CCDC170,1
CDY2B,1
CH25H,1
CLPSL2,1
DEFB113,1
DTD1,1
FDFT1,1
RBM17,1
PRRT3,1
PHKB,1
CCNI,1
STOM,1
TMEM229B,1
AC004824.2,1
AL583828.1,1
ANKRD34B,1
C11orf57,1
C20orf187,1
CLPTM1,1
OTOR,1
EXO5,1
FLT1,1
FOXRED2,1
LY6G6D,1
MBD3,1
NGDN,1
OR5L1,1
CCDC173,1
APOC3,1
CCDC73,1
NFIX,1
RASEF,1
SLC35G3,1
UBE2D3,1
WDR64,1
YIPF5,1
ABCA12,1
CASZ1,1
CEP120,1
CTC-241N9.1,1
EFCAB14,1
GPR182,1
