,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,AU565,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC1806,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
ABTB1,12.74,26.1,11.76,5.32,12.81,5.57,7.81,10.47,9.71,2.6,6.71,11.04,13.14,7.57,6.59,4.48,9.66,8.16,10.62,11.19,10.07,3.85,14.63,18.64,8.35,5.11,9.22,6.88,22.1,4.95
ABTB2,6.12,9.84,4.79,7.55,2.46,0.53,0.05,10.02,1.11,0.4,7.72,0.28,10.89,4.85,4.51,14.28,6.01,22.56,7.86,4.33,4.04,6.33,13.09,2.34,12.52,4.53,16.06,6.94,11.13,10.98
AC000003.2,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
AC002310.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002365.1,0.0,0.11,0.37,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.0,0.08,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.29
AC002398.9,2.65,2.25,4.26,2.3,3.8,3.82,7.21,4.24,3.53,0.65,2.24,3.51,3.27,1.15,1.62,1.48,4.21,1.55,6.68,1.01,8.04,0.0,0.26,3.64,3.16,2.05,9.22,4.0,0.0,0.5
AC002451.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002472.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002472.13,1.0,0.15,0.04,0.04,0.03,0.0,0.01,0.07,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.05,0.0,0.0,0.04,0.16,0.04,1.38,0.08,0.01,0.01,0.0,0.03
AC002553.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002985.3,0.13,0.54,0.07,0.18,0.0,0.0,0.0,0.08,0.06,0.08,0.2,0.0,1.53,0.14,0.04,0.0,0.0,0.14,0.23,0.34,0.06,0.12,0.28,0.18,0.16,0.0,0.31,1.92,0.23,0.11
AC003002.4,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003002.6,0.35,0.31,1.0,0.57,0.59,0.59,0.09,0.39,0.84,0.55,0.07,0.42,0.16,0.05,0.04,0.26,0.5,1.4,0.6,0.16,0.06,0.07,0.08,0.33,0.71,0.71,0.41,1.23,0.1,0.31
AC003005.4,0.27,0.0,0.11,0.0,0.67,0.0,0.17,1.28,0.75,0.0,0.0,0.0,0.41,0.0,0.0,0.12,0.17,0.34,1.03,0.0,0.0,0.35,0.0,0.48,0.0,0.71,0.08,0.23,0.11,0.0
AC003006.7,0.32,2.43,0.75,0.89,0.0,0.44,0.28,0.22,0.85,0.0,0.27,0.1,0.94,0.0,0.23,0.0,0.88,0.0,0.92,0.16,0.53,0.0,0.29,1.24,0.19,0.41,0.48,1.51,0.58,0.0
AC003043.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003101.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.17,0.09,0.06,0.0,0.0,0.0
AC003102.1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.06,0.01,0.02,0.02
AC004017.1,0.5,0.0,0.26,0.0,0.0,0.68,0.29,0.0,1.36,0.0,0.0,0.18,0.0,0.0,0.0,0.61,0.21,0.0,1.31,0.0,0.21,0.34,0.0,0.0,2.8,0.0,0.2,0.0,0.27,0.0
AC004076.7,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
AC004076.9,0.19,0.37,0.68,0.17,0.51,0.12,0.11,0.0,2.81,0.01,0.07,0.07,0.37,0.0,0.0,0.23,0.14,0.0,1.57,0.2,0.26,0.61,0.56,1.0,1.36,0.4,0.38,0.35,0.86,0.0
AC004381.6,8.2,2.92,8.69,7.57,6.2,15.67,11.74,5.22,13.91,9.95,11.55,13.01,49.82,7.34,4.42,10.38,14.89,6.16,7.19,9.53,5.58,18.86,9.61,2.01,17.07,18.14,16.15,6.58,6.37,5.87
AC004466.1,3.74,4.47,0.71,0.79,0.05,2.66,0.9,0.84,4.47,2.28,1.16,2.07,1.45,1.39,0.57,0.51,1.76,1.18,3.37,1.55,1.93,1.5,1.47,3.59,1.22,1.21,3.03,1.19,0.59,1.87
AC004528.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004817.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004824.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004899.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005003.1,1.41,0.84,1.8,0.8,0.68,2.01,0.44,1.19,2.9,2.76,0.93,0.89,2.98,0.43,0.99,3.47,4.52,1.07,2.45,1.35,0.64,4.54,3.03,0.3,1.85,2.96,1.94,1.2,1.51,0.74
AC005008.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
AC005082.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005358.1,0.0,0.03,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
AC005477.1,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.02,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
AC005481.5,0.94,0.43,0.08,0.08,0.11,0.01,0.0,0.33,0.04,0.0,6.92,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01
AC005488.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005493.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005544.1,0.08,0.23,0.24,0.0,0.0,0.03,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.63,1.41,4.36,1.1,0.26,0.72,2.02,2.17,0.0,0.0,2.47,0.75,25.51,0.0,0.0,0.69
AC005549.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005606.1,1.82,0.12,0.07,1.55,0.08,0.42,0.06,0.0,0.33,0.0,0.12,0.09,0.08,1.07,0.83,0.0,1.86,0.38,1.53,0.56,0.49,1.32,0.67,0.08,1.59,0.96,1.11,0.97,0.0,0.36
AC005609.1,0.42,0.0,0.36,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.39,0.16,0.12,0.43,0.25,0.0,0.08,0.0,0.61,0.6,0.0,0.26,0.63,0.57,1.99,0.87,0.02,0.81
AC005779.2,0.0,0.0,0.06,0.0,0.1,0.05,0.06,0.0,0.1,0.0,0.0,0.08,0.0,0.0,0.25,0.24,0.27,0.1,0.06,0.22,0.19,0.06,0.0,0.0,0.13,0.06,0.55,0.0,0.0,0.29
AC005841.1,0.11,0.66,0.25,0.47,0.55,0.64,0.58,0.15,1.03,0.38,0.51,0.91,0.7,0.24,0.39,0.36,0.67,0.05,0.81,0.0,1.1,1.21,0.44,0.36,0.35,0.79,2.02,0.78,0.14,0.2
AC006014.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006116.20,0.18,2.27,0.36,0.25,0.27,0.46,0.33,0.0,7.68,0.0,0.0,0.33,0.07,0.1,0.04,0.26,0.57,0.05,0.1,0.29,0.2,0.12,0.08,0.18,0.27,0.0,0.05,0.1,0.06,0.2
AC006126.3,0.0,0.14,0.18,0.0,0.0,0.05,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.28,0.0,0.12,0.0,0.05,0.0,0.17,0.0,0.13,0.0,0.56,0.06,0.0,1.2
AC006132.1,1.67,8.57,0.03,0.0,9.46,1.62,3.78,0.25,15.41,5.86,0.0,0.26,0.11,0.03,4.6,1.53,0.17,2.13,1.87,0.37,0.0,0.19,4.61,3.47,0.35,0.26,1.08,0.0,0.09,3.01
AC006156.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006372.1,0.06,0.04,0.09,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.24,0.0,0.05,0.03,0.02,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.02,0.0,0.0
AC006435.1,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006449.1,21.19,13.08,11.49,22.74,40.45,27.32,41.72,14.97,12.3,37.38,24.91,40.56,16.28,27.45,11.13,14.69,9.68,19.91,22.64,31.7,47.06,38.11,11.5,13.98,13.91,7.91,8.37,26.98,17.37,67.94
AC006455.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006486.1,0.38,0.18,0.39,0.8,0.3,0.42,0.33,0.53,0.57,0.5,0.13,0.32,0.29,0.16,0.32,0.47,1.0,0.73,0.42,0.23,0.07,0.32,0.2,0.08,0.21,0.23,0.31,0.2,0.36,0.38
AC006486.9,0.0,0.0,2.85,0.48,0.0,0.46,0.4,0.46,0.0,0.17,0.0,0.17,0.55,0.0,0.24,0.53,0.0,0.54,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0
AC006538.4,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.45,0.0,0.0,0.45,0.0,0.0,5.08,10.01,0.21,0.0,6.71,4.76,0.0,0.0,5.27
AC006547.14,3.84,0.52,0.99,3.5,0.12,0.08,0.02,1.86,1.68,0.0,0.12,0.02,0.32,0.29,0.03,0.03,0.38,0.0,0.3,0.06,0.39,0.1,0.83,0.05,1.59,0.14,0.01,0.16,0.27,0.16
AC006946.15,0.02,0.0,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.07,0.03,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.02,0.0,0.03,0.02,0.0,0.0,0.0,0.03,0.0,0.09,0.09,0.0
AC006967.1,0.02,0.0,0.0,0.0,0.35,0.0,0.0,0.0,1.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007040.11,0.18,0.11,0.54,0.37,0.0,0.11,0.04,0.09,0.06,0.06,0.01,0.13,0.09,0.29,0.04,0.05,0.07,0.1,0.26,0.15,0.74,0.04,0.05,0.25,0.14,0.09,0.37,0.04,0.47,0.03
AC007204.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007216.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007375.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.03,1.6,0.0,0.0,0.0
AC007377.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007382.1,2.12,1.24,0.0,0.0,0.9,0.97,1.31,0.0,0.0,0.92,1.04,0.81,0.7,1.56,1.06,2.11,0.91,2.13,1.12,0.0,1.37,1.56,0.0,0.62,1.38,1.66,0.0,1.15,1.16,0.0
AC007390.5,30.67,21.31,16.04,32.07,15.33,15.62,43.91,26.53,32.17,39.42,41.6,43.13,20.54,16.43,8.51,23.9,22.04,25.05,23.18,18.06,23.43,13.14,10.4,45.09,29.7,22.98,36.8,11.17,21.75,13.35
AC007401.2,0.11,0.51,0.09,0.0,0.07,0.07,0.0,0.0,0.31,0.0,0.16,0.12,0.0,0.08,0.07,0.09,0.07,0.16,0.26,0.0,0.14,0.1,0.0,0.15,0.49,0.0,0.14,0.0,0.0,0.0
AC007405.2,0.07,0.42,0.13,0.02,0.0,0.0,0.0,0.29,0.71,0.0,0.01,0.0,0.0,0.07,0.08,0.1,0.0,0.0,0.06,0.0,0.08,0.08,0.06,0.09,0.13,1.17,0.03,0.01,0.04,0.09
AC007421.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0
AC007431.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007461.1,0.0,0.0,0.2,0.59,0.13,0.47,0.0,0.49,0.0,0.08,0.0,0.0,0.0,0.79,0.0,0.0,0.06,0.0,0.0,0.09,0.03,0.0,1.93,0.0,0.34,0.0,0.0,0.0,5.68,0.0
AC007557.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007773.3,0.26,0.3,0.11,0.3,0.09,0.29,0.05,0.52,0.59,1.07,0.0,0.57,0.0,0.13,0.1,0.36,0.3,0.05,0.32,0.41,0.0,0.54,0.83,0.07,0.76,0.74,0.53,1.43,0.0,0.0
AC007919.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007952.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007952.5,0.01,0.04,0.01,0.01,4.32,12.24,2.27,0.04,0.02,4.68,0.03,3.47,0.0,0.0,0.0,0.02,0.01,0.12,0.35,0.18,0.06,0.03,0.27,0.23,0.58,0.0,0.02,0.01,2.75,0.06
AC007952.6,0.01,0.13,0.0,0.08,0.84,0.0,1.5,0.31,0.05,3.28,0.0,2.07,0.23,0.05,0.04,0.16,0.03,0.1,0.34,0.0,0.0,0.04,0.7,0.26,0.0,0.0,0.0,0.02,3.69,0.1
AC007956.1,0.05,1.33,0.17,0.99,1.5,1.47,1.05,0.38,0.0,0.0,0.3,0.09,0.53,0.55,0.23,0.43,0.0,0.0,1.09,1.42,0.69,0.0,0.0,0.0,0.83,0.7,1.21,1.02,0.0,0.51
AC007965.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008060.7,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008132.1,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.03,0.0
AC008132.13,0.05,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.03,0.11,0.4,0.02,0.08,0.01,0.02,0.29,0.01,0.01,0.01,0.07,0.03,0.04,0.1,0.0,0.0
AC008267.1,0.01,0.1,0.02,0.02,0.05,0.07,0.04,0.02,0.06,0.08,0.04,0.04,0.02,0.05,0.0,0.02,0.16,0.02,0.06,0.0,0.05,0.04,0.05,0.02,0.0,0.02,0.03,0.11,0.02,0.03
AC008271.1,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008372.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008387.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008394.1,0.01,0.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0
AC008443.1,3.29,13.65,2.03,3.8,4.76,2.48,2.49,0.84,2.73,3.21,2.05,3.5,4.08,6.47,4.93,5.79,9.24,2.28,10.47,4.11,7.23,6.78,10.85,2.37,6.67,2.52,3.69,3.59,4.39,14.82
AC008498.1,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008686.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008914.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008948.1,0.83,0.0,0.0,0.03,1.3,0.0,0.1,0.0,2.47,0.0,0.32,0.02,0.0,0.05,0.0,0.22,1.45,0.0,0.0,0.1,0.6,0.03,0.52,1.21,0.44,0.0,0.69,0.35,0.04,0.0
AC008964.1,0.02,51.54,0.07,0.0,0.34,0.0,0.01,0.02,12.25,0.02,1.25,0.05,0.16,0.01,0.03,0.0,0.02,0.03,0.51,21.78,0.01,0.0,0.05,5.52,0.0,0.11,0.03,0.0,0.0,1.14
AC009041.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009060.1,0.24,0.41,0.11,0.58,0.29,0.32,0.38,0.15,0.21,0.47,0.44,0.24,1.11,0.0,0.0,0.47,0.57,0.47,0.72,0.41,0.61,0.32,2.58,0.26,8.35,0.81,0.18,1.09,0.25,0.0
AC009065.1,0.15,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.15,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009365.3,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009403.2,16.5,22.75,9.51,11.99,11.88,42.94,28.21,8.18,32.01,61.49,15.01,17.66,24.56,5.33,3.17,11.31,9.69,7.68,39.71,8.69,6.28,10.65,3.66,4.86,10.58,5.65,9.06,3.27,9.74,8.53
AC009802.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009892.10,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009977.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010327.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010336.1,0.11,0.2,0.07,0.09,0.04,0.05,0.03,0.07,0.05,0.05,0.1,0.03,0.15,0.3,0.16,0.16,0.42,0.12,0.23,0.08,0.27,0.23,0.09,0.11,0.24,0.14,0.07,0.12,0.2,0.09
AC010368.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010441.1,2.95,12.17,18.71,51.69,21.0,0.06,0.05,62.1,22.6,0.03,18.46,0.05,11.65,2.67,1.87,4.85,9.48,0.8,11.24,7.31,1.1,17.33,6.86,2.01,9.1,8.66,12.25,1.02,0.2,8.44
AC010536.1,0.36,0.24,0.25,0.28,0.21,1.87,0.22,0.41,0.72,0.45,0.55,1.08,1.56,0.6,0.25,0.65,0.87,0.2,1.6,0.4,0.98,0.99,1.38,0.27,1.42,0.78,0.79,0.42,0.39,0.72
AC010547.9,0.65,0.36,0.56,0.59,0.67,0.34,0.21,0.3,0.29,0.19,0.16,0.15,0.48,0.15,0.19,0.48,0.82,0.06,0.23,0.36,0.19,0.18,0.42,0.14,0.2,0.37,0.62,0.18,0.14,0.8
AC010642.1,0.22,0.58,0.59,0.86,0.42,0.87,0.53,0.59,1.88,0.53,0.37,0.67,0.9,0.25,0.64,0.2,1.06,0.81,1.26,1.34,0.41,0.57,2.32,2.69,1.03,0.28,0.73,1.41,0.32,1.31
AC010646.3,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.18,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010760.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010877.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011239.1,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.88,0.0,0.0,0.0,0.07,0.03,0.12,0.0,0.0,0.0,0.0,0.0
