,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,AU565,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC1806,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
P2RY10,0.02,0.0,0.0,0.0,45.31,2.47,11.14,0.0,0.34,1.09,0.0,18.86,0.0,0.03,0.01,0.54,0.28,0.0,0.08,0.32,0.01,0.65,0.0,0.02,0.0,0.07,0.09,0.0,0.0,0.04
P2RY11,6.79,7.36,11.98,18.6,33.32,17.19,9.38,3.97,20.34,13.01,13.69,6.63,12.57,13.51,20.07,8.69,14.05,3.82,8.84,8.05,27.01,5.24,27.49,3.07,10.53,11.06,13.89,37.73,19.34,2.94
P2RY12,0.04,0.03,0.09,0.03,0.02,0.02,1.34,0.0,0.0,0.04,0.0,0.02,0.01,0.0,0.0,0.02,0.02,0.0,0.03,0.0,0.08,0.05,0.02,0.01,0.0,0.0,0.01,0.0,0.06,0.02
P2RY13,0.0,0.02,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
P2RY14,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.09,0.01,0.02,0.02,0.0,0.0,0.0,0.03,0.02,0.01,0.01,0.0,0.05,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.02
P2RY2,0.29,100.88,0.46,0.05,0.03,0.01,0.02,0.03,2.17,0.17,44.13,0.03,0.07,0.38,30.13,24.45,9.56,23.43,18.7,17.58,3.3,21.57,6.33,6.73,13.99,22.58,35.73,5.31,0.64,15.64
P2RY4,0.16,0.36,0.14,0.03,0.16,0.06,0.04,0.05,0.09,0.01,0.04,0.13,0.15,0.14,0.01,0.08,0.07,0.0,0.07,0.02,0.08,0.04,0.2,0.11,0.12,0.23,0.22,0.25,0.21,0.02
P2RY6,27.83,94.35,7.02,0.18,0.22,0.0,0.0,0.43,0.04,0.01,3.41,0.02,0.3,11.17,2.85,3.68,4.8,37.85,13.84,1.41,1.08,24.25,1.5,3.13,1.87,33.61,34.21,2.11,0.24,25.95
P2RY8,0.015,0.03,0.015,0.005,17.475,70.365,37.0,0.02,0.07,43.415,22.92,9.965,0.07,0.0,0.005,0.005,0.02,0.01,0.015,0.015,0.02,0.005,0.01,0.02,0.02,0.0,0.03,0.02,0.02,0.02
P4HA1,11.1,60.45,108.72,34.85,19.47,37.05,11.57,198.77,111.35,19.92,25.67,7.9,25.83,40.9,15.72,20.49,21.32,73.29,9.88,20.09,5.3,13.55,19.94,21.14,16.93,18.97,17.14,13.84,71.67,24.97
P4HA2,27.42,101.32,166.61,124.27,1.01,0.26,30.54,126.89,2.75,1.36,0.42,1.74,48.6,32.07,34.12,43.13,26.26,17.46,45.62,44.38,13.43,23.9,89.9,22.76,45.16,21.94,12.9,12.91,51.56,46.28
P4HA3,1.75,0.34,0.48,0.12,0.22,0.17,0.02,0.3,0.04,0.02,0.1,0.03,4.3,0.2,0.06,0.26,1.06,0.22,0.34,0.35,0.13,0.16,3.35,0.17,1.47,0.33,0.32,0.7,1.8,0.27
P4HB,981.31,654.87,1057.3,1159.4,186.35,180.62,141.75,795.89,439.98,186.92,783.94,253.87,893.42,725.3,411.21,875.49,913.69,892.36,505.53,504.36,196.12,776.03,1111.2,428.0,688.4,470.75,622.5,408.78,738.01,660.62
P4HTM,29.03,9.05,18.47,32.75,16.96,17.52,5.74,12.3,2.43,13.02,0.46,1.28,3.51,4.7,29.89,28.42,27.61,17.82,32.62,15.74,14.59,19.57,18.87,3.85,11.47,32.72,18.13,14.79,1.04,0.43
PA2G4,91.18,140.58,167.11,289.12,206.31,420.5,436.13,261.19,265.53,581.11,540.95,840.4,170.37,237.63,254.47,316.14,191.33,413.56,235.49,162.49,307.4,370.3,201.3,120.2,236.51,313.96,264.0,141.78,251.95,200.67
PAAF1,10.86,35.2,17.05,16.21,17.39,20.99,23.46,25.7,28.02,48.18,29.85,17.9,17.37,11.47,7.16,26.02,41.15,14.01,20.63,13.79,5.44,35.25,12.35,15.83,15.3,10.63,17.33,4.87,8.98,15.34
PABPC1,276.76,989.5,718.96,543.82,1410.6,1220.8,1230.5,825.06,1433.2,1267.0,1168.4,1424.2,848.25,2679.0,1605.9,1286.9,624.1,494.25,1544.4,1315.6,1442.0,591.74,1023.1,824.07,1243.7,2138.1,2578.6,1563.5,2269.9,2034.2
PABPC1L,78.47,94.03,16.88,14.14,48.5,59.56,22.35,13.3,14.38,27.41,28.45,63.11,36.87,16.35,3.1,74.58,63.72,55.42,65.58,16.12,50.46,128.95,77.41,19.49,81.32,16.7,14.31,14.29,56.58,20.45
PABPC1L2A,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
PABPC1L2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0
PABPC3,0.66,2.67,1.04,0.37,3.08,0.94,0.7,0.91,3.39,0.98,1.61,1.34,1.14,2.29,1.1,0.95,1.55,0.55,1.22,2.21,3.0,0.54,1.28,1.81,1.07,1.82,5.95,2.42,4.8,2.45
PABPC4,49.87,132.54,122.77,123.45,177.06,193.1,137.48,119.45,292.73,230.53,157.99,246.5,130.78,166.77,216.39,99.04,106.15,115.78,112.92,186.55,144.22,113.37,177.16,88.71,227.23,83.39,178.51,256.94,193.87,144.45
PABPC4L,0.07,0.27,0.24,0.08,0.15,0.01,0.01,0.0,1.44,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.31,0.13,0.01,0.04,0.91,0.0,0.01,1.5,1.93,0.01,0.0,1.82,3.04,0.01
PABPC5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.03,3.18,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.56,0.0,0.02,0.1,0.02,0.0
PABPN1,87.06,148.69,134.65,85.74,148.57,197.16,135.61,141.65,197.69,156.51,157.34,163.16,198.16,105.67,73.54,122.34,140.66,131.95,195.23,108.88,87.77,79.16,118.14,64.9,118.28,97.1,113.95,125.04,106.79,144.61
PABPN1L,0.46,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.05,0.26,0.02,0.0,0.18,0.46,0.54,0.0,0.0,0.0,0.03,0.86,0.0,0.04,0.0,0.0,0.56,0.0,0.0,0.0
PACRG,0.53,0.0,0.16,0.06,0.0,0.0,0.0,0.11,0.07,0.0,0.1,0.02,0.0,0.11,0.22,0.0,0.38,0.0,0.05,0.0,0.14,0.0,0.0,0.11,0.11,0.02,0.0,0.08,0.0,0.04
PACRGL,16.54,23.91,11.49,21.91,8.46,7.52,9.54,16.33,12.58,14.97,19.32,13.14,13.3,12.39,5.24,8.26,17.24,8.02,16.73,9.64,23.79,8.93,19.42,10.91,10.25,15.53,8.61,10.78,12.41,9.57
