,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
AC008914.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008948.1,0.0,0.05,0.0,0.22,1.45,0.0,0.1,0.6,0.03,0.52,0.44,0.0,0.69,0.35,0.04,0.0
AC008964.1,0.16,0.01,0.03,0.0,0.02,0.51,21.78,0.01,0.0,0.05,0.0,0.11,0.03,0.0,0.0,1.14
AC009041.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009060.1,1.11,0.0,0.0,0.47,0.57,0.72,0.41,0.61,0.32,2.58,8.35,0.81,0.18,1.09,0.25,0.0
AC009065.1,0.32,0.0,0.0,0.0,0.15,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009365.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009403.2,24.56,5.33,3.17,11.31,9.69,39.71,8.69,6.28,10.65,3.66,10.58,5.65,9.06,3.27,9.74,8.53
AC009802.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009892.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009977.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010327.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010336.1,0.15,0.3,0.16,0.16,0.42,0.23,0.08,0.27,0.23,0.09,0.24,0.14,0.07,0.12,0.2,0.09
AC010368.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010441.1,11.65,2.67,1.87,4.85,9.48,11.24,7.31,1.1,17.33,6.86,9.1,8.66,12.25,1.02,0.2,8.44
AC010536.1,1.56,0.6,0.25,0.65,0.87,1.6,0.4,0.98,0.99,1.38,1.42,0.78,0.79,0.42,0.39,0.72
AC010547.9,0.48,0.15,0.19,0.48,0.82,0.23,0.36,0.19,0.18,0.42,0.2,0.37,0.62,0.18,0.14,0.8
AC010642.1,0.9,0.25,0.64,0.2,1.06,1.26,1.34,0.41,0.57,2.32,1.03,0.28,0.73,1.41,0.32,1.31
AC010646.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010760.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010877.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011239.1,0.0,0.0,0.0,0.05,0.0,1.88,0.0,0.0,0.0,0.07,0.12,0.0,0.0,0.0,0.0,0.0
AC011294.3,0.2,0.0,0.01,0.0,0.09,0.39,3.4,0.0,0.0,0.07,0.01,0.0,0.0,13.05,0.0,2.28
AC011298.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011308.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011366.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
AC011475.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011484.1,0.0,0.0,0.0,0.01,0.02,0.01,0.14,0.0,0.0,0.0,2.11,0.0,0.0,0.01,0.0,0.0
AC011500.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.08,0.0
AC011530.4,0.0,0.1,0.0,0.08,0.0,0.53,0.66,0.0,0.1,0.0,0.84,0.1,0.3,0.61,0.31,0.0
AC011551.3,0.0,0.19,0.16,0.21,0.23,0.28,0.29,0.0,0.08,0.0,0.08,0.23,0.06,0.08,0.22,0.0
AC011755.1,0.0,0.09,0.0,0.01,0.06,0.0,0.0,0.04,0.01,0.0,0.03,0.06,0.04,0.01,0.0,0.06
AC011897.1,0.03,0.06,1.23,0.23,1.39,0.01,0.37,0.54,0.0,0.45,0.8,0.43,0.0,0.72,0.03,3.56
AC011997.1,0.03,0.02,0.0,0.25,0.27,0.69,0.0,0.04,0.0,0.0,0.18,0.0,0.08,0.0,0.0,0.0
AC012067.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC012123.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
AC012215.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
AC012313.1,0.0,0.0,0.0,0.19,0.11,1.02,1.48,0.0,0.29,0.0,0.09,0.13,0.34,0.14,0.0,0.0
AC012360.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC012360.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC012414.1,0.5,0.15,0.0,0.0,0.0,0.0,0.03,0.0,0.75,0.06,0.14,0.0,0.0,0.0,0.0,2.46
AC012485.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC012493.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC013269.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC013449.1,3.12,0.34,0.81,1.86,7.56,0.94,2.32,2.7,0.97,0.48,1.09,1.57,5.22,0.81,3.63,0.55
AC013468.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC013469.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC015660.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC015688.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
AC015987.2,66.07,22.08,10.48,18.09,52.44,17.48,48.88,15.01,8.66,14.98,47.69,11.75,26.97,36.2,40.46,37.88
AC015989.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC015989.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC016251.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0
AC016559.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC016586.1,0.35,0.14,0.11,0.22,0.22,0.11,0.16,0.15,0.27,0.13,0.25,0.16,0.22,0.26,0.1,0.06
AC016722.1,0.4,0.0,0.03,0.01,0.03,0.24,0.03,0.42,0.09,0.49,0.26,0.03,0.03,0.18,0.0,0.72
AC016722.2,3.57,0.15,0.0,0.23,0.12,3.48,1.26,0.77,0.06,1.58,1.33,0.27,0.07,1.02,0.59,4.52
AC016745.1,0.05,0.0,0.1,0.04,0.19,0.02,0.06,0.06,0.0,0.0,0.05,0.05,0.06,0.09,0.0,0.08
AC016752.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC016757.3,0.01,0.0,0.42,0.0,0.08,0.14,0.0,0.0,0.0,0.1,0.04,0.05,0.03,0.05,0.05,0.0
AC016885.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.08,0.92,0.0,0.0,0.0,0.27
AC017028.1,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC017081.1,0.54,0.53,0.52,0.23,0.61,0.12,0.21,0.84,0.32,0.52,0.88,0.35,0.46,0.12,0.81,0.0
AC017104.2,0.07,0.0,0.12,0.05,0.04,0.0,0.0,0.05,0.11,0.08,0.12,0.06,0.09,0.06,0.0,0.09
AC018445.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.32,0.0
AC018470.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC018512.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC018630.1,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0
AC018755.1,0.17,0.0,0.06,0.09,2.36,1.33,0.0,0.01,0.39,0.21,0.35,1.27,0.52,0.03,0.13,0.08
AC018816.3,0.0,0.12,9.95,0.11,171.32,1.18,2.52,0.55,32.93,1.49,0.12,0.37,1.33,0.27,0.22,0.83
AC018867.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC018867.2,0.0,0.0,0.0,0.0,10.46,8.42,0.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC019171.1,0.49,0.0,0.0,0.0,0.02,1.38,1.02,0.27,0.06,0.21,0.52,0.0,0.0,0.94,0.0,0.0
AC019206.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC019294.1,0.12,0.03,0.0,0.23,0.14,0.11,0.09,0.24,0.15,0.47,0.46,0.0,0.08,0.16,0.3,0.06
AC020629.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC020907.1,1.87,3.6,0.41,0.02,0.04,2.05,3.76,4.09,0.11,3.9,0.08,0.17,0.02,0.12,1.98,0.27
AC020922.1,0.58,0.6,0.44,1.55,2.5,1.82,0.69,0.59,1.31,0.35,0.67,1.63,1.16,1.3,1.01,0.46
AC020952.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC021218.2,1.2,0.0,0.0,0.01,0.01,0.19,0.01,0.02,0.0,0.06,0.04,0.0,0.01,0.05,0.02,0.11
AC021860.1,0.08,0.01,0.05,0.03,0.35,0.16,0.17,0.07,0.01,0.13,0.25,0.2,0.02,0.41,0.09,0.05
AC022210.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC022400.2,0.25,1.65,0.28,0.57,0.25,0.26,0.23,0.3,0.3,0.14,1.35,0.1,0.2,1.02,0.61,0.0
AC022431.2,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
AC022498.1,0.05,0.04,0.03,0.07,0.04,0.15,0.06,0.12,0.08,0.07,0.05,0.05,0.09,0.13,0.06,0.11
AC022532.1,0.14,0.61,0.24,0.07,0.17,0.08,0.37,0.56,0.45,0.69,0.68,0.3,1.67,2.06,0.37,0.23
AC022819.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC023469.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0
AC023590.1,0.28,0.06,0.0,0.0,0.05,0.21,0.12,0.09,0.0,0.04,0.04,0.11,0.03,0.0,0.1,0.38
AC023632.1,0.01,0.07,0.1,0.18,0.02,0.03,0.08,0.1,0.06,0.1,0.05,0.24,0.17,0.06,0.08,0.14
AC024257.1,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.04,0.0,0.07,0.0,0.0,0.03,0.01,0.0,0.0
AC024580.1,2.35,2.91,4.06,5.32,10.61,8.39,2.51,11.54,13.77,6.24,7.24,8.4,7.11,6.53,3.04,3.3
AC024592.12,3.36,2.49,1.35,1.24,3.07,3.89,0.74,2.57,0.81,0.9,1.83,0.58,4.61,4.12,4.1,2.19
AC024940.1,0.12,0.15,0.13,0.15,0.17,0.09,0.08,0.63,0.14,0.02,0.36,0.1,0.11,0.35,0.17,0.02
AC025262.1,0.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC025263.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC025278.1,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC025287.1,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
AC026202.1,0.12,0.04,0.06,0.13,0.21,0.05,0.28,0.0,0.05,0.22,0.18,0.15,0.0,0.06,0.12,0.0
AC026310.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0
AC026369.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC026407.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC026461.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC026703.1,10.44,5.36,4.04,0.43,0.96,0.03,6.72,48.79,0.39,5.71,77.6,0.02,0.24,35.52,6.27,0.37
AC026740.1,1.27,2.28,0.75,3.09,0.73,3.63,5.94,2.14,3.17,4.24,5.1,0.69,1.44,2.51,2.62,7.8
AC027228.1,0.09,0.08,0.05,0.13,0.06,0.16,0.13,0.08,0.12,0.3,0.12,0.35,0.03,0.16,0.04,0.06
AC027307.3,1.75,0.23,0.32,0.15,0.42,0.53,0.1,0.15,0.45,0.14,0.43,0.4,0.54,1.06,0.09,0.66
AC027309.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC027763.2,16.62,6.67,1.21,5.69,7.89,11.09,4.7,3.75,7.82,7.51,5.33,7.05,4.66,6.24,10.32,5.87
AC037199.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC037459.4,4.86,10.89,7.57,1.88,3.72,0.0,1.28,0.27,2.59,10.98,6.82,1.39,0.17,0.62,12.45,1.66
AC040160.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.1,0.05,0.0,0.0
AC040977.1,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.34,0.0,0.0,0.0,0.0
AC051642.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC055736.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC061975.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC061992.1,0.53,0.08,0.0,0.27,0.77,0.09,0.0,0.16,0.0,0.43,0.0,0.14,2.25,0.28,0.0,0.17
AC062017.1,1.26,0.37,0.0,0.87,1.54,0.5,0.53,0.08,1.16,0.0,0.39,0.2,0.2,0.08,0.69,0.0
AC064874.1,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC068039.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC068533.7,2.12,0.73,1.08,0.91,1.3,0.86,0.99,0.65,1.4,0.32,0.45,1.59,1.61,2.06,0.26,0.92
AC068620.1,0.0,0.0,0.06,0.24,1.4,0.71,0.0,0.33,0.09,0.12,0.45,0.64,0.19,0.17,0.0,0.29
AC068987.1,0.2,0.44,0.11,0.21,0.01,0.06,0.03,0.12,0.01,0.33,0.96,0.42,0.33,1.43,1.07,0.04
AC069368.3,0.88,0.03,0.0,0.27,0.1,0.12,0.0,0.03,0.09,0.63,0.76,0.0,0.03,0.52,0.13,0.0
AC069547.1,0.59,0.56,0.15,0.69,0.94,0.4,0.43,0.74,0.61,0.66,0.97,0.32,2.62,0.71,0.09,0.27
AC069547.2,0.02,0.0,0.0,0.01,0.01,0.01,0.05,0.01,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0
AC073063.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC073188.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC073333.1,0.88,0.31,0.0,0.23,0.28,0.32,0.32,0.09,0.0,1.65,4.4,0.0,0.08,0.23,0.69,0.22
AC073342.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC073343.1,0.06,0.04,0.04,0.0,0.02,0.05,0.0,0.21,0.04,0.0,0.11,0.15,0.29,0.82,1.04,0.07
AC073528.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC073569.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC073610.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC073657.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.87,0.0,0.0
AC074091.13,0.2,0.01,0.0,0.0,0.02,0.14,0.13,0.08,0.0,0.25,0.13,0.0,0.03,0.07,0.06,0.0
AC074212.3,0.14,0.01,0.01,0.05,0.01,0.09,0.0,0.01,0.02,0.01,0.0,0.01,0.0,0.0,0.01,0.02
AC074389.6,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC078925.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC079210.1,0.12,0.12,0.42,0.38,0.48,0.18,0.06,0.2,0.15,1.13,0.41,1.26,0.77,0.34,0.13,0.4
AC079341.1,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.25,0.0,0.0,0.01,0.0,0.0
AC079354.1,0.01,0.03,0.01,0.01,0.08,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.04,0.0
AC079354.2,0.0,2.96,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0
AC079602.1,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.01
AC079612.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC083862.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC084121.16,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0
AC087239.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC087477.1,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
AC087645.1,0.11,0.06,0.04,0.03,0.1,0.06,0.07,0.03,0.14,0.04,0.2,0.03,0.07,0.07,0.1,0.0
AC090186.1,5.98,15.48,7.48,3.41,11.3,5.91,8.41,11.52,5.21,12.76,7.58,6.97,11.76,7.66,16.18,6.64
AC090427.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC090574.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC090616.2,0.22,0.06,0.68,0.15,1.43,0.31,0.74,0.06,3.92,0.03,0.14,0.16,0.43,0.3,0.03,0.95
AC090673.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC091150.1,0.0,0.0,0.0,0.0,0.05,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC091801.1,0.0,0.0,0.0,0.02,0.23,0.0,0.12,0.0,0.0,0.13,0.0,0.0,0.06,0.1,0.03,0.0
AC091948.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092291.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092384.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092675.3,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.18,0.0,0.0,0.0,0.0,0.0
AC092687.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092782.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092811.1,1.08,0.71,0.1,0.25,1.0,2.16,1.31,0.98,0.67,0.37,0.87,0.3,0.62,3.02,3.92,0.86
AC092850.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092964.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092964.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093157.1,0.41,0.49,0.25,0.14,0.36,0.96,0.89,0.62,0.32,0.35,0.31,0.35,0.27,0.1,0.29,0.36
AC093323.1,0.0,0.34,0.07,0.0,0.08,0.19,0.0,0.08,0.11,0.16,0.11,0.11,0.07,0.51,0.0,0.0
AC093677.1,0.89,0.9,0.21,0.17,5.1,0.23,0.6,0.51,0.15,0.05,0.57,0.39,0.15,0.13,0.29,0.62
AC093802.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0
AC096582.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
AC096644.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC096677.1,4.07,0.18,0.03,0.2,0.32,3.51,5.06,0.0,0.04,0.2,0.08,0.08,0.14,1.12,0.08,3.33
AC097381.1,0.02,0.02,0.01,0.0,0.01,0.18,0.0,0.03,0.02,0.07,0.04,0.09,0.04,0.02,0.04,0.05
AC099344.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC099552.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC102948.2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.09,0.0,0.1,0.0,0.0,0.0
AC103801.2,3.03,3.73,3.13,1.95,1.08,1.64,2.61,3.11,5.88,2.03,3.81,1.4,5.79,9.19,5.44,1.34
AC103809.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC104057.1,0.0,0.03,0.02,0.0,0.86,0.0,0.0,0.21,0.03,0.0,0.03,0.0,0.05,0.1,0.03,0.0
AC104472.1,0.02,0.06,0.02,0.02,0.03,0.03,0.0,0.05,0.03,0.0,0.03,0.07,0.06,0.02,0.0,0.0
AC104532.2,0.0,0.93,0.15,0.0,0.05,0.43,0.11,0.12,0.07,0.0,0.0,3.25,0.0,0.0,17.5,0.0
AC104534.3,0.62,0.0,1.37,0.0,0.0,0.76,0.0,9.14,0.34,0.17,0.48,0.36,0.0,1.18,0.34,0.53
AC104667.3,0.0,1.16,1.56,4.09,7.13,1.19,0.95,0.38,3.46,0.27,1.91,2.88,2.86,0.31,0.15,1.73
AC104794.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC104809.3,0.34,0.0,0.0,0.0,0.03,0.0,0.1,0.0,0.03,0.0,0.0,3.4,0.0,0.0,0.0,0.0
AC104841.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC105020.1,0.59,0.21,0.13,0.73,0.86,0.71,0.52,0.86,1.07,0.67,0.52,0.15,1.21,1.49,0.48,1.39
AC106017.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC106873.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0
AC106876.2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.07
AC107021.1,0.29,0.03,0.0,0.15,0.25,0.15,0.36,0.16,0.04,0.54,0.19,0.02,0.04,0.0,0.16,0.22
AC108868.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC109583.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
