,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
CPNE4,0.0,0.0,0.02,0.05,0.01,0.3,0.14,0.01,0.97,0.01,0.01,0.01
CPNE5,0.06,0.11,0.11,0.06,0.05,0.12,0.01,0.4,0.11,0.39,0.08,0.01
CPNE6,0.0,0.0,0.17,0.0,0.0,0.0,0.08,0.02,0.01,0.03,0.0,0.14
CPNE7,200.22,34.8,36.54,33.43,151.02,17.02,2.38,36.16,41.39,15.51,22.33,34.37
CPNE8,3.26,0.1,0.47,0.6,0.01,4.53,0.12,0.11,0.14,0.19,0.17,0.03
CPNE9,0.0,0.31,0.0,0.0,0.07,0.17,0.29,0.08,0.0,0.6,0.12,0.06
CPO,0.14,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.08
CPOX,252.6,17.16,15.82,10.68,17.43,22.49,15.97,19.83,17.95,16.28,24.33,12.45
CPPED1,0.79,29.77,8.76,5.97,3.89,10.39,14.24,10.95,8.86,20.37,4.86,2.35
CPQ,0.73,0.06,0.48,0.23,3.19,7.0,0.27,0.11,6.53,0.32,0.07,0.07
CPS1,39.63,0.02,0.57,0.16,1.06,10.24,0.53,5.92,1.73,0.24,5.1,0.21
CPSF1,111.02,78.7,76.65,52.35,116.24,54.8,90.41,97.85,118.26,60.01,48.53,97.0
CPSF2,93.43,24.33,39.27,20.83,14.54,20.65,25.52,28.11,66.99,21.24,17.85,23.6
CPSF3,29.17,39.87,26.24,27.51,18.5,29.79,43.79,28.53,56.22,35.43,52.49,32.17
CPSF3L,92.0,90.44,61.09,55.51,98.86,61.41,64.32,63.96,111.42,35.16,49.76,116.96
CPSF4,103.78,54.53,31.65,24.06,68.05,70.43,49.49,56.04,40.63,34.94,44.8,50.21
CPSF4L,0.0,0.29,0.0,0.0,0.0,0.0,0.09,0.03,0.0,0.08,0.37,0.13
CPSF6,47.2,79.93,48.63,33.27,34.85,41.07,68.25,63.77,76.26,42.34,46.37,29.42
CPSF7,74.15,99.71,50.22,42.7,46.92,73.04,82.1,46.79,86.63,36.77,44.09,52.04
CPT1A,26.98,48.77,54.32,32.12,5.48,5.97,26.07,33.13,33.28,38.67,33.99,18.96
CPT1B,18.57,15.55,12.43,10.41,17.51,5.28,4.53,21.5,13.56,7.06,15.59,48.69
CPT1C,1.53,0.18,1.81,0.59,10.45,9.52,0.18,0.09,3.02,0.55,0.09,0.95
CPT2,9.59,14.86,13.47,4.43,2.4,6.59,6.81,10.04,8.64,10.98,12.28,8.87
CPVL,0.48,6.34,15.66,3.18,6.62,0.07,1.11,7.49,12.39,7.14,0.78,20.48
CPXCR1,0.0,0.01,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
